"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","13/160","59/10654",2.69621503488206e-12,1.33462644226662e-09,1.2658020058499e-09,13
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","21/160","301/10654",4.09895318171984e-09,1.01449091247566e-06,9.62175325814236e-07,21
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","13/160","137/10654",1.29898302625301e-07,1.62681077415082e-05,1.54291888414942e-05,13
"R-HSA-8875878","R-HSA-8875878","MET promotes cell motility","8/160","41/10654",1.36204182655027e-07,1.62681077415082e-05,1.54291888414942e-05,8
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","10/160","76/10654",1.79390633269964e-07,1.62681077415082e-05,1.54291888414942e-05,10
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","7/160","30/10654",2.30054048869813e-07,1.62681077415082e-05,1.54291888414942e-05,7
"R-HSA-8874081","R-HSA-8874081","MET activates PTK2 signaling","7/160","30/10654",2.30054048869813e-07,1.62681077415082e-05,1.54291888414942e-05,7
"R-HSA-3000170","R-HSA-3000170","Syndecan interactions","6/160","27/10654",2.38130947629137e-06,0.000147343523845529,0.000139745266634994,6
"R-HSA-1566948","R-HSA-1566948","Elastic fibre formation","7/160","45/10654",4.24462622433069e-06,0.000233454442338188,0.000221415590181461,7
"R-HSA-2129379","R-HSA-2129379","Molecules associated with elastic fibres","6/160","38/10654",1.93743763436907e-05,0.000959031629012691,0.000909575984135375,6
"R-HSA-6806834","R-HSA-6806834","Signaling by MET","8/160","79/10654",2.29396015744919e-05,0.00103228207085213,0.000979049024136208,8
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","8/160","85/10654",3.9213991394703e-05,0.0016175771450315,0.00153416141772259,8
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","10/160","140/10654",4.73696523277974e-05,0.00180369060786613,0.00171067732293098,10
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","9/160","125/10654",0.000107328039081173,0.00379481281037006,0.00359912070903785,9
"R-HSA-446353","R-HSA-446353","Cell-extracellular matrix interactions","4/160","18/10654",0.000127208830442182,0.00419789140459202,0.00398141321945357,4
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","8/160","108/10654",0.000214356762237296,0.00663166233171635,0.00628967868143645,8
"R-HSA-373760","R-HSA-373760","L1CAM interactions","8/160","119/10654",0.000415558469689336,0.0121000848527189,0.0114761038688201,8
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","5/160","44/10654",0.000485618628151319,0.0127496571485692,0.0120921788160805,5
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","6/160","67/10654",0.000489380779440031,0.0127496571485692,0.0120921788160805,6
"R-HSA-9006934","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","17/160","473/10654",0.000737477001449004,0.0182525557858628,0.0173113022445398,17
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","5/160","61/10654",0.00216806490978016,0.0511043871591038,0.0484690200381931,5
"R-HSA-1474290","R-HSA-1474290","Collagen formation","6/160","90/10654",0.00230152976824592,0.0517844197855332,0.0491139845281187,6
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","5/160","64/10654",0.00268042039518844,0.0576873085051424,0.0547124712244413,5
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","7/160","129/10654",0.00326905557894896,0.0674242713158222,0.0639473152724226,7
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","3/160","21/10654",0.00362420316034179,0.0717592225747675,0.0680587204005238,3
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","7/160","134/10654",0.00403467352496961,0.076813976725383,0.0728528093982368,7
"R-HSA-210991","R-HSA-210991","Basigin interactions","3/160","25/10654",0.00599843640626226,0.109971334114808,0.104300297746315,3
"R-HSA-2022923","R-HSA-2022923","Dermatan sulfate biosynthesis","2/160","11/10654",0.0112781216065415,0.197729371314802,0.187532800864225,2
"R-HSA-446728","R-HSA-446728","Cell junction organization","5/160","91/10654",0.0118462848272547,0.197729371314802,0.187532800864225,5
"R-HSA-1251985","R-HSA-1251985","Nuclear signaling by ERBB4","3/160","32/10654",0.0119835982615032,0.197729371314802,0.187532800864225,3
